Name,Phone Number,Buyer/Channel Partner/Enquiry/Site Visit,Role
Tanvi Chauhan,9222657398,Enquiry,UNKNOWN
Ishita Kumar,7511037479,Enquiry,UNKNOWN
Pooja Gupta,8236279481,Site Visit,SITE_VISIT
Aadhya Chatterjee,7260415674,Enquiry,UNKNOWN
Aarav Kulkarni,8404341761,Channel Partner,CHANNEL_PARTNER
Vivaan Kulkarni,9378301937,Channel Partner,CHANNEL_PARTNER
Nisha Kapoor,7799713394,Site Visit,SITE_VISIT
Dinesh Naidu,9821007971,Buyer,BUYER
Ira Bose,8129269082,Buyer,BUYER
Vasudevan Naidu,7224651431,Channel Partner,CHANNEL_PARTNER
Arjun Tripathi,9346597513,Enquiry,UNKNOWN
Riya Pandey,7337740592,Site Visit,SITE_VISIT
Harish Kulkarni,9387388416,Enquiry,UNKNOWN
Anand Bhat,8569663952,Site Visit,SITE_VISIT
Suresh Sharma,6931833239,Enquiry,UNKNOWN
Rahul Naidu,9734060367,Enquiry,UNKNOWN
Neha Mehta,7841579769,Site Visit,SITE_VISIT
Ishita Krishnan,6682216221,Channel Partner,CHANNEL_PARTNER
Anand Singh,7295618485,Site Visit,SITE_VISIT
Anika Saxena,8429998409,Buyer,BUYER
Navaneethan Ramaswamy,6923885778,Buyer,BUYER
Janani Krishnan,9768878448,Enquiry,UNKNOWN
Sai Roy,7130899315,Enquiry,UNKNOWN
Meera Chatterjee,9977376303,Enquiry,UNKNOWN
Neha Aggarwal,7910369370,Buyer,BUYER
Ishaan Tripathi,7351396359,Channel Partner,CHANNEL_PARTNER
Hari Rao,9163593949,Site Visit,SITE_VISIT
Rohan Verma,7231433408,Enquiry,UNKNOWN
Suresh Krishnan,9912561107,Channel Partner,CHANNEL_PARTNER
Pranav Balaji,6277469766,Channel Partner,CHANNEL_PARTNER
Pranav Pandey,6491213247,Buyer,BUYER
Reyansh Saxena,7119543276,Channel Partner,CHANNEL_PARTNER
Myra Pillai,9579260378,Enquiry,UNKNOWN
Aadhya Singh,6123165955,Site Visit,SITE_VISIT
Suresh Kulkarni,7785244063,Enquiry,UNKNOWN
Tanvi Roy,6721155851,Site Visit,SITE_VISIT
Dinesh Kapoor,8108699346,Enquiry,UNKNOWN
Sneha Joshi,6016389273,Buyer,BUYER
Navaneethan Naidu,6590483793,Site Visit,SITE_VISIT
Ira Saxena,8743600712,Site Visit,SITE_VISIT
Tanvi Aggarwal,7596410141,Enquiry,UNKNOWN
Neha Singh,8082289687,Channel Partner,CHANNEL_PARTNER
Siddharth Chatterjee,9072560378,Buyer,BUYER
Anand Shetty,7419697432,Site Visit,SITE_VISIT
Azhagu Kumar,7072630365,Buyer,BUYER
Pranav Arora,9027833384,Site Visit,SITE_VISIT
Rohan Kulkarni,7053644972,Channel Partner,CHANNEL_PARTNER
Janani Verma,8761468017,Channel Partner,CHANNEL_PARTNER
Krishna Tripathi,7073356693,Buyer,BUYER
Dinesh Ramaswamy,6659182871,Site Visit,SITE_VISIT
Vivaan Naidu,7373753623,Channel Partner,CHANNEL_PARTNER
Ananya Ramaswamy,8602685078,Site Visit,SITE_VISIT
Ramesh Nair,7456980137,Enquiry,UNKNOWN
Vivaan Pandey,9841748311,Site Visit,SITE_VISIT
Suresh Subramanian,6250824319,Channel Partner,CHANNEL_PARTNER
Ananya Aggarwal,7631930086,Enquiry,UNKNOWN
Riya Jain,6095441733,Channel Partner,CHANNEL_PARTNER
Divya Das,8624833568,Enquiry,UNKNOWN
Krishna Chatterjee,9116697037,Buyer,BUYER
Vivaan Roy,8675962083,Site Visit,SITE_VISIT
Priya Jain,8702711595,Site Visit,SITE_VISIT
Saanvi Kumar,6597434720,Site Visit,SITE_VISIT
Pooja Pillai,8329247563,Enquiry,UNKNOWN
Ananya Jain,8152088431,Site Visit,SITE_VISIT
Riya Iyer,8717209297,Buyer,BUYER
Ishita Gupta,6292033900,Site Visit,SITE_VISIT
Lakshmi Sundaram,7712138618,Site Visit,SITE_VISIT
Arjun Kulkarni,8086829041,Enquiry,UNKNOWN
Vasudevan Balaji,8415724269,Buyer,BUYER
Vasudevan Pandey,9160910316,Buyer,BUYER
Neha Sundaram,7206300933,Buyer,BUYER
Kavya Saxena,9839449587,Buyer,BUYER
Karthik Saxena,6696852085,Site Visit,SITE_VISIT
Akash Pillai,6276060328,Buyer,BUYER
Ishaan Malhotra,7954255716,Buyer,BUYER
Riya Singh,8949832063,Enquiry,UNKNOWN
Rohan Shetty,6861057122,Channel Partner,CHANNEL_PARTNER
Saanvi Sundaram,7664930130,Channel Partner,CHANNEL_PARTNER
Anika Menon,8355711415,Enquiry,UNKNOWN
Azhagu Iyer,9732308705,Site Visit,SITE_VISIT
Vasudevan Krishnan,8182275389,Channel Partner,CHANNEL_PARTNER
Tanvi Malhotra,7225147751,Enquiry,UNKNOWN
Kavya Yadav,6179819454,Enquiry,UNKNOWN
Neha Malhotra,7720740962,Enquiry,UNKNOWN
Dinesh Gupta,8373617428,Channel Partner,CHANNEL_PARTNER
Ishaan Venkatesh,7235285368,Enquiry,UNKNOWN
Vivaan Bose,9617246397,Enquiry,UNKNOWN
Ganesh Joshi,8864678855,Enquiry,UNKNOWN
Meera Singh,6433192571,Enquiry,UNKNOWN
Divya Yadav,9687413037,Enquiry,UNKNOWN
Ishaan Patel,9684672207,Channel Partner,CHANNEL_PARTNER
Dinesh Chatterjee,9036860994,Site Visit,SITE_VISIT
Anika Bose,9717820269,Buyer,BUYER
Myra Arora,8149510979,Enquiry,UNKNOWN
Ishaan Arora,9928493344,Buyer,BUYER
Anika Joshi,7070012089,Site Visit,SITE_VISIT
Divya Tripathi,8680466838,Channel Partner,CHANNEL_PARTNER
Vikram Mehta,6155775591,Enquiry,UNKNOWN
Lakshmi Joshi,7122480561,Site Visit,SITE_VISIT
Shreya Singh,6331152469,Site Visit,SITE_VISIT
Aadhya Sundaram,9868589574,Site Visit,SITE_VISIT
Aarav Iyer,7454131066,Enquiry,UNKNOWN
Ira Mukherjee,9056440212,Channel Partner,CHANNEL_PARTNER
Ira Mehta,8580072646,Enquiry,UNKNOWN
Dinesh Pillai,6941718670,Channel Partner,CHANNEL_PARTNER
Vikram Krishnan,8060444384,Site Visit,SITE_VISIT
Ganesh Sharma,7279055207,Channel Partner,CHANNEL_PARTNER
Ishita Das,9145912597,Enquiry,UNKNOWN
Navaneethan Gupta,6982719036,Site Visit,SITE_VISIT
Janani Menon,6060436831,Enquiry,UNKNOWN
Pooja Iyer,6442039174,Enquiry,UNKNOWN
Suresh Balaji,8029439466,Buyer,BUYER
Vihaan Yadav,6947426874,Channel Partner,CHANNEL_PARTNER
Saanvi Malhotra,8843351688,Channel Partner,CHANNEL_PARTNER
Gopal Jain,9711546167,Channel Partner,CHANNEL_PARTNER
Gopal Aggarwal,8165669371,Channel Partner,CHANNEL_PARTNER
Aditya Pandey,8177514230,Enquiry,UNKNOWN
Suresh Kapoor,8169503105,Buyer,BUYER
Ishita Das,8129205094,Buyer,BUYER
Krishna Venkatesh,6645592723,Enquiry,UNKNOWN
Vihaan Roy,8484992187,Channel Partner,CHANNEL_PARTNER
Saanvi Arora,6554308526,Site Visit,SITE_VISIT
Priya Menon,7235126704,Buyer,BUYER
Naveen Iyer,8160250488,Channel Partner,CHANNEL_PARTNER
Divya Pillai,6258756987,Site Visit,SITE_VISIT
Sai Sundaram,6005184022,Channel Partner,CHANNEL_PARTNER
Reyansh Balaji,8342461163,Channel Partner,CHANNEL_PARTNER
Dinesh Krishnan,9306313812,Enquiry,UNKNOWN
Ganesh Sharma,6055859075,Site Visit,SITE_VISIT
Ayaan Yadav,6614602351,Channel Partner,CHANNEL_PARTNER
Harish Tripathi,9710524816,Site Visit,SITE_VISIT
Aarav Malhotra,9861958570,Site Visit,SITE_VISIT
Dinesh Kapoor,7408016120,Site Visit,SITE_VISIT
Janani Kumar,8350253645,Enquiry,UNKNOWN
Pooja Sundaram,9802915856,Enquiry,UNKNOWN
Azhagu Mukherjee,8947198029,Enquiry,UNKNOWN
Anand Jain,8058053439,Enquiry,UNKNOWN
Nisha Narayanan,8919192147,Enquiry,UNKNOWN
Janani Yadav,8659488906,Buyer,BUYER
Tanvi Kumar,9286723839,Site Visit,SITE_VISIT
Aarav Naidu,9257598233,Site Visit,SITE_VISIT
Shreya Singh,6906871524,Channel Partner,CHANNEL_PARTNER
Arjun Chauhan,6650405635,Enquiry,UNKNOWN
Reyansh Yadav,8817880371,Enquiry,UNKNOWN
Janani Balaji,8695049533,Channel Partner,CHANNEL_PARTNER
Diya Menon,7387784449,Channel Partner,CHANNEL_PARTNER
Myra Mukherjee,8773451505,Enquiry,UNKNOWN
Naveen Venkatesh,7959657412,Site Visit,SITE_VISIT
Reyansh Mukherjee,7378093654,Channel Partner,CHANNEL_PARTNER
Ganesh Mehta,9617400285,Enquiry,UNKNOWN
Ananya Das,9211418789,Site Visit,SITE_VISIT
Ananya Singh,7834501796,Channel Partner,CHANNEL_PARTNER
Naveen Venkatesh,7339046106,Site Visit,SITE_VISIT
Azhagu Pandey,7623950820,Site Visit,SITE_VISIT
Sneha Kapoor,7541340301,Channel Partner,CHANNEL_PARTNER
Anika Sundaram,9434204209,Enquiry,UNKNOWN
Karthik Mehta,6224929418,Enquiry,UNKNOWN
Rahul Rao,9775031263,Enquiry,UNKNOWN
Neha Mukherjee,6843681861,Site Visit,SITE_VISIT
Ganesh Saxena,6287441787,Site Visit,SITE_VISIT
Aarav Saxena,7099296439,Buyer,BUYER
Rohan Rao,7604717059,Channel Partner,CHANNEL_PARTNER
Priya Kapoor,8295612850,Buyer,BUYER
Vasudevan Das,7543600741,Channel Partner,CHANNEL_PARTNER
Navaneethan Malhotra,7862496924,Enquiry,UNKNOWN
Karthik Verma,8017115307,Enquiry,UNKNOWN
Akash Bhat,8596402469,Enquiry,UNKNOWN
Suresh Narayanan,8482569647,Channel Partner,CHANNEL_PARTNER
Myra Tripathi,6039107669,Site Visit,SITE_VISIT
Nisha Menon,8420639995,Buyer,BUYER
Saanvi Singh,9803191475,Enquiry,UNKNOWN
Riya Sundaram,6128043834,Site Visit,SITE_VISIT
Aditya Bhat,9410769701,Site Visit,SITE_VISIT
Saanvi Kapoor,6822178461,Site Visit,SITE_VISIT
Vihaan Menon,7388660561,Buyer,BUYER
Janani Shetty,7268714189,Enquiry,UNKNOWN
Anand Joshi,6243297789,Site Visit,SITE_VISIT
Kavya Pillai,6598661719,Site Visit,SITE_VISIT
Krishna Iyer,7219550762,Enquiry,UNKNOWN
Sneha Kulkarni,8798728187,Channel Partner,CHANNEL_PARTNER
Ishaan Arora,6840163367,Enquiry,UNKNOWN
Ganesh Das,6464196632,Buyer,BUYER
Neha Jain,7304275177,Enquiry,UNKNOWN
Ganesh Balaji,6126626100,Enquiry,UNKNOWN
Suresh Venkatesh,6249411985,Enquiry,UNKNOWN
Gopal Verma,8684562622,Channel Partner,CHANNEL_PARTNER
Sneha Iyer,7817678868,Enquiry,UNKNOWN
Karthik Yadav,8412231306,Channel Partner,CHANNEL_PARTNER
Aadhya Naidu,8562856229,Site Visit,SITE_VISIT
Ira Aggarwal,8902597425,Enquiry,UNKNOWN
Rahul Das,6093713446,Enquiry,UNKNOWN
Anika Pandey,9727527644,Buyer,BUYER
Krishna Pillai,8422021037,Site Visit,SITE_VISIT
Akash Saxena,7074953442,Site Visit,SITE_VISIT
Vihaan Venkatesh,8255693255,Buyer,BUYER
Pooja Joshi,9359514823,Buyer,BUYER
Ganesh Chauhan,6924689531,Buyer,BUYER
Pooja Naidu,6437461126,Site Visit,SITE_VISIT
Kavya Ramaswamy,9761706639,Enquiry,UNKNOWN
Janani Iyer,6760062769,Buyer,BUYER
Ganesh Nair,6104650552,Buyer,BUYER
Anand Singh,6117160241,Buyer,BUYER
Ganesh Aggarwal,6130608450,Channel Partner,CHANNEL_PARTNER
Tanvi Iyer,9347262672,Site Visit,SITE_VISIT
Nisha Aggarwal,9998182787,Site Visit,SITE_VISIT
Ishita Mehta,8896972632,Enquiry,UNKNOWN
Arjun Kumar,9115591177,Enquiry,UNKNOWN
Priya Venkatesh,6932774465,Site Visit,SITE_VISIT
Vivaan Saxena,9150248909,Enquiry,UNKNOWN
Aarav Tripathi,9574103868,Site Visit,SITE_VISIT
Vivaan Sharma,7513134044,Channel Partner,CHANNEL_PARTNER
Naveen Chauhan,8150302996,Channel Partner,CHANNEL_PARTNER
Anika Bose,7779314061,Enquiry,UNKNOWN
Anand Aggarwal,6071676221,Channel Partner,CHANNEL_PARTNER
Sneha Ramaswamy,8756792161,Enquiry,UNKNOWN
Vasudevan Ramaswamy,6269772884,Channel Partner,CHANNEL_PARTNER
Diya Mehta,8720429306,Channel Partner,CHANNEL_PARTNER
Meera Kumar,6179100518,Buyer,BUYER
Vivaan Balaji,9412499926,Buyer,BUYER
Sneha Patel,9221115712,Enquiry,UNKNOWN
Arjun Naidu,9123047419,Enquiry,UNKNOWN
Ira Roy,8339089191,Channel Partner,CHANNEL_PARTNER
Meera Singh,9049457711,Site Visit,SITE_VISIT
Nisha Bose,6426796360,Channel Partner,CHANNEL_PARTNER
Sneha Rao,6284546011,Buyer,BUYER
Krishna Yadav,7508757917,Buyer,BUYER
Pranav Verma,7101729466,Site Visit,SITE_VISIT
Ishita Roy,8388780418,Site Visit,SITE_VISIT
Vihaan Yadav,8261496912,Site Visit,SITE_VISIT
Siddharth Das,7297184780,Channel Partner,CHANNEL_PARTNER
Sneha Bhat,8002503460,Buyer,BUYER
Sai Kumar,6198720788,Buyer,BUYER
Ananya Roy,6580564091,Buyer,BUYER
Shreya Pandey,7497651057,Enquiry,UNKNOWN
Ishita Naidu,9059476325,Site Visit,SITE_VISIT
Diya Roy,9812738720,Buyer,BUYER
Pooja Joshi,7636902364,Site Visit,SITE_VISIT
Anika Subramanian,6281064290,Buyer,BUYER
Priya Verma,6955933280,Buyer,BUYER
Pranav Kulkarni,8965240999,Site Visit,SITE_VISIT
Reyansh Rao,8035799820,Enquiry,UNKNOWN
Meera Iyer,6173845785,Site Visit,SITE_VISIT
Azhagu Mukherjee,8209002862,Channel Partner,CHANNEL_PARTNER
Gopal Nair,9153274294,Site Visit,SITE_VISIT
Divya Verma,6952623709,Enquiry,UNKNOWN
Riya Naidu,6548095375,Buyer,BUYER
Ishaan Jain,8665714590,Channel Partner,CHANNEL_PARTNER
Ganesh Sharma,8705905069,Channel Partner,CHANNEL_PARTNER
Lakshmi Mehta,6715429489,Channel Partner,CHANNEL_PARTNER
Gopal Sundaram,9677720032,Buyer,BUYER
Vihaan Pandey,8399291688,Channel Partner,CHANNEL_PARTNER
Ishita Chatterjee,7598786734,Enquiry,UNKNOWN
Hari Kulkarni,8980765261,Channel Partner,CHANNEL_PARTNER
Rohan Kumar,9778777385,Channel Partner,CHANNEL_PARTNER
Lakshmi Mehta,6147392838,Channel Partner,CHANNEL_PARTNER
Karthik Pillai,7399773141,Channel Partner,CHANNEL_PARTNER
Vivaan Krishnan,9116793849,Channel Partner,CHANNEL_PARTNER
Meera Saxena,9416790061,Enquiry,UNKNOWN
Anika Tripathi,9241640615,Enquiry,UNKNOWN
Vivaan Verma,8888610979,Enquiry,UNKNOWN
Vivaan Sundaram,9452446805,Buyer,BUYER
Ishita Mehta,7378598311,Site Visit,SITE_VISIT
Aditya Balaji,9606215936,Site Visit,SITE_VISIT
Tanvi Pandey,9578686926,Channel Partner,CHANNEL_PARTNER
Ananya Menon,7155013446,Buyer,BUYER
Vikram Bose,6726186043,Buyer,BUYER
Rohan Iyer,6912028484,Buyer,BUYER
Divya Aggarwal,6188869644,Site Visit,SITE_VISIT
Anand Yadav,6450811786,Channel Partner,CHANNEL_PARTNER
Dinesh Sharma,7470021381,Enquiry,UNKNOWN
Divya Sundaram,8956588099,Enquiry,UNKNOWN
Krishna Naidu,8129736695,Enquiry,UNKNOWN
Hari Menon,9167098614,Site Visit,SITE_VISIT
Shreya Ramaswamy,7646713440,Channel Partner,CHANNEL_PARTNER
Krishna Bose,9226982821,Channel Partner,CHANNEL_PARTNER
Ishaan Bose,8684458809,Buyer,BUYER
Ishita Menon,6044499263,Site Visit,SITE_VISIT
Kavya Tripathi,7420293063,Buyer,BUYER
Saanvi Bose,6397431150,Enquiry,UNKNOWN
Aadhya Mukherjee,8232418148,Enquiry,UNKNOWN
Vasudevan Aggarwal,6189025456,Enquiry,UNKNOWN
Tanvi Patel,6580800160,Enquiry,UNKNOWN
Akash Joshi,9917789660,Channel Partner,CHANNEL_PARTNER
Harish Gupta,6471503452,Site Visit,SITE_VISIT
Janani Reddy,6365814162,Channel Partner,CHANNEL_PARTNER
Aadhya Sharma,9762966514,Channel Partner,CHANNEL_PARTNER
Janani Gupta,7988318769,Channel Partner,CHANNEL_PARTNER
Ananya Saxena,9333889269,Enquiry,UNKNOWN
Aarav Ramaswamy,6817754839,Site Visit,SITE_VISIT
Divya Rao,8492317794,Channel Partner,CHANNEL_PARTNER
Janani Ramaswamy,7950964486,Site Visit,SITE_VISIT
Neha Roy,7481591238,Site Visit,SITE_VISIT
Hari Malhotra,6574120066,Site Visit,SITE_VISIT
Ayaan Kapoor,6333381494,Enquiry,UNKNOWN
Rahul Kumar,9521588375,Enquiry,UNKNOWN
Rahul Krishnan,9579240401,Site Visit,SITE_VISIT
Navaneethan Menon,6928489060,Enquiry,UNKNOWN
Tanvi Venkatesh,8185571588,Enquiry,UNKNOWN
Arjun Joshi,8004359075,Site Visit,SITE_VISIT
Azhagu Verma,7245544669,Channel Partner,CHANNEL_PARTNER
Reyansh Bose,7736891737,Site Visit,SITE_VISIT
Ayaan Pillai,8051834242,Enquiry,UNKNOWN
Krishna Rao,7243549180,Enquiry,UNKNOWN
Neha Chauhan,8094382969,Buyer,BUYER
Pooja Kumar,6161860193,Site Visit,SITE_VISIT
Pooja Das,9491539282,Channel Partner,CHANNEL_PARTNER
Ramesh Bose,6781165354,Buyer,BUYER
Diya Rao,6359810864,Channel Partner,CHANNEL_PARTNER
Ganesh Venkatesh,8730261571,Buyer,BUYER
Anand Joshi,9564877559,Channel Partner,CHANNEL_PARTNER
Gopal Venkatesh,9128538884,Channel Partner,CHANNEL_PARTNER
Karthik Singh,8450322910,Buyer,BUYER
Ramesh Singh,9228140445,Channel Partner,CHANNEL_PARTNER
Tanvi Mehta,6854065661,Site Visit,SITE_VISIT
Diya Kapoor,6284224318,Buyer,BUYER
Siddharth Chatterjee,6065233172,Site Visit,SITE_VISIT
Lakshmi Kulkarni,7885868646,Site Visit,SITE_VISIT
Priya Naidu,6963475114,Channel Partner,CHANNEL_PARTNER
Riya Mukherjee,6217779673,Buyer,BUYER
Arjun Malhotra,9107797516,Enquiry,UNKNOWN
Myra Tripathi,6976815511,Buyer,BUYER
Vihaan Kulkarni,9691466510,Channel Partner,CHANNEL_PARTNER
Ishaan Sundaram,7719887280,Channel Partner,CHANNEL_PARTNER
Tanvi Jain,8025862011,Site Visit,SITE_VISIT
Ananya Kulkarni,9052908689,Site Visit,SITE_VISIT
Harish Das,9885217537,Channel Partner,CHANNEL_PARTNER
Vikram Iyer,9930986712,Channel Partner,CHANNEL_PARTNER
Nisha Patel,8607994713,Site Visit,SITE_VISIT
Ayaan Arora,9491823193,Channel Partner,CHANNEL_PARTNER
Myra Yadav,7108115285,Channel Partner,CHANNEL_PARTNER
Ramesh Kapoor,9212525937,Enquiry,UNKNOWN
Aarav Pillai,7280397771,Enquiry,UNKNOWN
Lakshmi Menon,8277910363,Site Visit,SITE_VISIT
Ira Yadav,9112167722,Enquiry,UNKNOWN
Ayaan Balaji,8212806224,Site Visit,SITE_VISIT
Ishaan Iyer,6116761747,Enquiry,UNKNOWN
Nisha Gupta,6884584840,Site Visit,SITE_VISIT
Anika Pillai,6931628781,Site Visit,SITE_VISIT
Akash Arora,7327391917,Channel Partner,CHANNEL_PARTNER
Vasudevan Krishnan,6794629071,Enquiry,UNKNOWN
Ira Venkatesh,6430844493,Buyer,BUYER
Sai Pandey,6998142403,Enquiry,UNKNOWN
Saanvi Krishnan,9903374265,Site Visit,SITE_VISIT
Rohan Reddy,9422714336,Buyer,BUYER
Sneha Kapoor,7203974038,Enquiry,UNKNOWN
Anika Subramanian,9196215509,Enquiry,UNKNOWN
Rohan Malhotra,9009752674,Enquiry,UNKNOWN
Sai Sharma,9842298273,Buyer,BUYER
Vasudevan Krishnan,9249488893,Channel Partner,CHANNEL_PARTNER
Harish Krishnan,9915699767,Channel Partner,CHANNEL_PARTNER
Harish Chauhan,9564727757,Enquiry,UNKNOWN
Reyansh Krishnan,6756741755,Site Visit,SITE_VISIT
Dinesh Venkatesh,9499037448,Site Visit,SITE_VISIT
Aditya Pandey,9990388821,Buyer,BUYER
Harish Menon,8499065055,Buyer,BUYER
Ayaan Jain,6268377603,Enquiry,UNKNOWN
Harish Pandey,6941037138,Site Visit,SITE_VISIT
Siddharth Gupta,7454309592,Enquiry,UNKNOWN
Azhagu Yadav,8783920968,Site Visit,SITE_VISIT
Ganesh Venkatesh,7063399202,Buyer,BUYER
Siddharth Chauhan,6215787642,Buyer,BUYER
Myra Ramaswamy,6938278708,Channel Partner,CHANNEL_PARTNER
Vivaan Shetty,8563179990,Buyer,BUYER
Kavya Kulkarni,9303314678,Buyer,BUYER
Riya Aggarwal,8253202225,Enquiry,UNKNOWN
Vikram Rao,7898807398,Enquiry,UNKNOWN
Saanvi Kapoor,7255165754,Site Visit,SITE_VISIT
Vihaan Naidu,7513325437,Site Visit,SITE_VISIT
Gopal Malhotra,7414559991,Channel Partner,CHANNEL_PARTNER
Myra Narayanan,9286999880,Enquiry,UNKNOWN
Ishita Saxena,6496141726,Enquiry,UNKNOWN
Sneha Kumar,9851514050,Site Visit,SITE_VISIT
Sai Shetty,7547846594,Enquiry,UNKNOWN
Hari Balaji,8224811570,Channel Partner,CHANNEL_PARTNER
Naveen Mukherjee,8791651083,Buyer,BUYER
Riya Nair,7977772798,Site Visit,SITE_VISIT
Naveen Tripathi,8921601841,Site Visit,SITE_VISIT
Janani Kumar,8727653545,Site Visit,SITE_VISIT
Diya Malhotra,6562746789,Site Visit,SITE_VISIT
Vikram Shetty,7498065933,Site Visit,SITE_VISIT
Karthik Singh,9291706239,Channel Partner,CHANNEL_PARTNER
Naveen Verma,9964512352,Buyer,BUYER
Diya Arora,8581746680,Enquiry,UNKNOWN
Pooja Narayanan,6365276652,Enquiry,UNKNOWN
Tanvi Narayanan,7957075880,Channel Partner,CHANNEL_PARTNER
Siddharth Tripathi,7751361568,Buyer,BUYER
Diya Nair,8246471078,Buyer,BUYER
Vasudevan Pandey,7426353953,Site Visit,SITE_VISIT
Anika Mehta,8796262369,Enquiry,UNKNOWN
Anand Rao,8897663773,Site Visit,SITE_VISIT
Krishna Bhat,6220586720,Buyer,BUYER
Ishita Chatterjee,9423598812,Buyer,BUYER
Naveen Bose,8866103953,Site Visit,SITE_VISIT
Aditya Jain,9439281045,Channel Partner,CHANNEL_PARTNER
Navaneethan Kapoor,7726638503,Buyer,BUYER
Shreya Bose,8753040326,Channel Partner,CHANNEL_PARTNER
Saanvi Bose,9722228837,Site Visit,SITE_VISIT
Azhagu Roy,7596878581,Channel Partner,CHANNEL_PARTNER
Aarav Chatterjee,8676869634,Channel Partner,CHANNEL_PARTNER
Vivaan Tripathi,7853567465,Site Visit,SITE_VISIT
Neha Kulkarni,6121580953,Channel Partner,CHANNEL_PARTNER
Rohan Kumar,8808623903,Site Visit,SITE_VISIT
Janani Ramaswamy,6791348337,Site Visit,SITE_VISIT
Ishita Malhotra,6315072921,Enquiry,UNKNOWN
Anika Chauhan,9355431652,Enquiry,UNKNOWN
Karthik Jain,7401591813,Enquiry,UNKNOWN
Anand Rao,6121816832,Buyer,BUYER
Gopal Patel,7306338733,Enquiry,UNKNOWN
Gopal Jain,8664133769,Channel Partner,CHANNEL_PARTNER
Reyansh Subramanian,6831254977,Site Visit,SITE_VISIT
Anand Naidu,8982273424,Buyer,BUYER
Dinesh Bose,8510435464,Enquiry,UNKNOWN
Vasudevan Narayanan,9021185687,Channel Partner,CHANNEL_PARTNER
Priya Kapoor,6521053924,Buyer,BUYER
Priya Tripathi,7924075329,Site Visit,SITE_VISIT
Shreya Arora,6639593034,Site Visit,SITE_VISIT
Arjun Singh,9950896610,Buyer,BUYER
Suresh Yadav,9849582772,Buyer,BUYER
Vikram Sundaram,9801186104,Channel Partner,CHANNEL_PARTNER
Arjun Rao,8327510201,Buyer,BUYER
Riya Kapoor,9611508489,Enquiry,UNKNOWN
Riya Verma,9923511548,Site Visit,SITE_VISIT
Akash Patel,7404158490,Site Visit,SITE_VISIT
Myra Yadav,6089585113,Enquiry,UNKNOWN
Anand Mukherjee,8209775041,Enquiry,UNKNOWN
Ira Ramaswamy,7825217209,Site Visit,SITE_VISIT
Ishaan Balaji,7513512505,Enquiry,UNKNOWN
Aarav Tripathi,7265496014,Buyer,BUYER
Vasudevan Rao,8814337545,Buyer,BUYER
Sneha Iyer,9133260830,Buyer,BUYER
Lakshmi Kulkarni,6170044642,Channel Partner,CHANNEL_PARTNER
Riya Das,8205161130,Channel Partner,CHANNEL_PARTNER
Dinesh Kumar,8734159239,Channel Partner,CHANNEL_PARTNER
Vivaan Krishnan,9071659507,Buyer,BUYER
Rahul Nair,7794356022,Buyer,BUYER
Siddharth Ramaswamy,9373782005,Site Visit,SITE_VISIT
Rohan Bhat,7169346355,Site Visit,SITE_VISIT
Krishna Shetty,7461243567,Channel Partner,CHANNEL_PARTNER
Reyansh Mukherjee,6438604076,Enquiry,UNKNOWN
Aadhya Chauhan,7974404228,Enquiry,UNKNOWN
Shreya Nair,6255554375,Channel Partner,CHANNEL_PARTNER
Anika Saxena,6192955782,Channel Partner,CHANNEL_PARTNER
Ira Rao,7628909287,Buyer,BUYER
Rahul Yadav,8938342917,Buyer,BUYER
Lakshmi Malhotra,6566481040,Buyer,BUYER
Dinesh Reddy,7172562421,Buyer,BUYER
Ramesh Joshi,8361508182,Buyer,BUYER
Ananya Sharma,7621024804,Buyer,BUYER
Aarav Naidu,9132143455,Site Visit,SITE_VISIT
Meera Verma,6759358685,Enquiry,UNKNOWN
Arjun Kumar,8556617694,Channel Partner,CHANNEL_PARTNER
Janani Tripathi,6094075916,Site Visit,SITE_VISIT
Aadhya Balaji,7252583295,Channel Partner,CHANNEL_PARTNER
Vikram Menon,9386426989,Channel Partner,CHANNEL_PARTNER
Dinesh Joshi,9687260113,Channel Partner,CHANNEL_PARTNER
Neha Kumar,7570028939,Channel Partner,CHANNEL_PARTNER
Neha Verma,9677229791,Buyer,BUYER
Anand Pillai,9096383872,Enquiry,UNKNOWN
Kavya Menon,6214807886,Enquiry,UNKNOWN
Ramesh Kumar,8235834366,Channel Partner,CHANNEL_PARTNER
Reyansh Krishnan,9448936679,Channel Partner,CHANNEL_PARTNER
Dinesh Mehta,8489055650,Enquiry,UNKNOWN
Priya Narayanan,8388692377,Site Visit,SITE_VISIT
Neha Pillai,6353063760,Buyer,BUYER
Rahul Jain,6537500738,Enquiry,UNKNOWN
Ishaan Jain,6783882733,Site Visit,SITE_VISIT
Diya Saxena,9875138661,Buyer,BUYER
Vikram Reddy,9364065667,Site Visit,SITE_VISIT
Navaneethan Arora,7243297218,Buyer,BUYER
Lakshmi Nair,8913534220,Enquiry,UNKNOWN
Lakshmi Ramaswamy,8793398006,Site Visit,SITE_VISIT
Tanvi Balaji,6892965296,Channel Partner,CHANNEL_PARTNER
Kavya Naidu,7484547864,Channel Partner,CHANNEL_PARTNER
Neha Das,6448194317,Enquiry,UNKNOWN
Janani Chauhan,8398218296,Site Visit,SITE_VISIT
Akash Bhat,9485349639,Buyer,BUYER
Shreya Verma,9442115834,Site Visit,SITE_VISIT
Reyansh Naidu,6264424157,Site Visit,SITE_VISIT
